Sector0MD5	Unique	FirstUniqueByte	FileSizeBytes	FileName
0E183E7E0BA4635BA73E16451D6EC73B	False	-1	105472000	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Shanghai - Triple-Threat (1994)(Activision)(US)[!][TRIPLETHREAT R1J].zip
0E393D4B918E404427A28C54747DF0FF	True	0	582270976	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Rise of the Robots (1995)(Art Data)(EU)(M3)[!].zip
108FF815B890E1F10C8E3EA2D9DB6A1A	True	0	178569216	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Cyberdillo (1995)(Panasonic)(US)[!].zip
114FCFCE0093EF4119D83248ACEF3514	True	0	323575808	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Way of the Warrior (1994)(Universal Interactive Studios)(NTSC)(US)[!].zip
11DC98A260C00F299AD80FE94BD71D31	True	0	461987840	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Star Wars - Rebel Assault v1.0 (1993)(Electronic Arts)(EU-US)[!].zip
12377D51EDD6F38D462BB313670639AD	True	0	262758400	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Flashback - The Quest for Identity (1994)(Interplay)(JP)(M6).zip
124B817C4AF13C0B31762CF05D3CAA88	True	0	657022976	H:\Emulation\3DO\ALL_3DO_ROMS\Multimedia\ESPN Golf - Tom Kite no Kore ga Golf Da! (1994)(BYSE)(JP)(Disc 1 of 3)[!].zip
125D027E9B1547EE6029F4C2FE05EA4B	True	0	629760000	H:\Emulation\3DO\ALL_3DO_ROMS\Educational\Grimm Meisaku Gekijou 3 - Akazukin (1994)(IMA)(JP)[!].zip
1292E2C88227418D8462565ED693FE7D	True	0	84504576	H:\Emulation\3DO\ALL_3DO_ROMS\Educational\Fatty Bear's Funpack (1993)(Humongous Entertainment)(US)[!].zip
12AAFBBBE32E5DB296DCC7CC8AEAE7F0	False	-1	441018368	H:\Emulation\3DO\ALL_3DO_ROMS\Games\BattleSport (1995)(Studio 3DO)(EU)[!].zip
12AAFBBBE32E5DB296DCC7CC8AEAE7F0	False	-1	441323520	H:\Emulation\3DO\ALL_3DO_ROMS\Games\BattleSport (1995)(Studio 3DO)(US)[!].zip
13F758BA63594C79D67759E6A086681B	True	0	244932608	H:\Emulation\3DO\ALL_3DO_ROMS\Games\F1GP (1995)(Pony Canyon)(JP).zip
1414B99D1385569D11794A7A386573D5	True	0	336158720	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Blue Forest Monogatari (1996)(Panasonic)(JP)[!].zip
